2023-10-04 09:53:10.962 [TestNG-PoolService-4] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.opus.steps.CucumberSpringConfiguration], using SpringBootContextLoader
2023-10-04 09:53:10.962 [TestNG-PoolService-3] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.opus.steps.CucumberSpringConfiguration], using SpringBootContextLoader
2023-10-04 09:53:10.984 [TestNG-PoolService-8] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.985 [TestNG-PoolService-9] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.984 [TestNG-PoolService-0] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.984 [TestNG-PoolService-4] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.984 [TestNG-PoolService-3] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.986 [TestNG-PoolService-7] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.986 [TestNG-PoolService-6] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.987 [TestNG-PoolService-7] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.987 [TestNG-PoolService-3] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.988 [TestNG-PoolService-9] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.988 [TestNG-PoolService-2] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.987 [TestNG-PoolService-8] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.988 [TestNG-PoolService-1] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.988 [TestNG-PoolService-2] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.987 [TestNG-PoolService-6] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.987 [TestNG-PoolService-4] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.989 [TestNG-PoolService-1] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.988 [TestNG-PoolService-0] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:10.989 [TestNG-PoolService-5] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.opus.steps.CucumberSpringConfiguration]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-04 09:53:10.989 [TestNG-PoolService-5] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.opus.steps.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-04 09:53:11.342 [TestNG-PoolService-4] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.342 [TestNG-PoolService-7] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.342 [TestNG-PoolService-9] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.342 [TestNG-PoolService-2] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.342 [TestNG-PoolService-8] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.344 [TestNG-PoolService-0] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.345 [TestNG-PoolService-1] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.345 [TestNG-PoolService-6] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.345 [TestNG-PoolService-5] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.374 [TestNG-PoolService-3] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.opus.Application for test class com.opus.steps.CucumberSpringConfiguration
2023-10-04 09:53:11.617 [TestNG-PoolService-3] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-10-04 09:53:11.617 [TestNG-PoolService-7] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-10-04 09:53:11.618 [TestNG-PoolService-9] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-10-04 09:53:11.618 [TestNG-PoolService-1] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
